stop_id,route_short_name,,
2815,304,,"[s2815, 304],"
2815,208,,"[s2815, 208],"
2820,50,,"[s2820, 50],"
2829,50,,"[s2829, 50],"
2834,8,,"[s2834, 8],"
2834,304,,"[s2834, 304],"
2834,208,,"[s2834, 208],"
2853,8,,"[s2853, 8],"
2853,208,,"[s2853, 208],"
2893,300,,"[s2893, 300],"
2895,304,,"[s2895, 304],"
2898,304,,"[s2898, 304],"
2900,304,,"[s2900, 304],"
2904,8,,"[s2904, 8],"
2904,208,,"[s2904, 208],"
2924,57,,"[s2924, 57],"
2925,34,,"[s2925, 34],"
2925,37,,"[s2925, 37],"
2966,44,,"[s2966, 44],"
2976,54,,"[s2976, 54],"
2976,55,,"[s2976, 55],"
3015,44,,"[s3015, 44],"
3016,44,,"[s3016, 44],"
3038,405,,"[s3038, 405],"
3045,106,,"[s3045, 106],"
3057,106,,"[s3057, 106],"
3069,1,,"[s3069, 1],"
3072,1,,"[s3072, 1],"
3107,1,,"[s3107, 1],"
3107,8,,"[s3107, 8],"
3130,1,,"[s3130, 1],"
3130,8,,"[s3130, 8],"
3130,14,,"[s3130, 14],"
3130,20,,"[s3130, 20],"
3137,1,,"[s3137, 1],"
3137,8,,"[s3137, 8],"
3137,14,,"[s3137, 14],"
3137,20,,"[s3137, 20],"
3138,8,,"[s3138, 8],"
3138,1792,,"[s3138, 1792],"
3138,443,,"[s3138, 443],"
3145,1,,"[s3145, 1],"
3145,8,,"[s3145, 8],"
3145,102,,"[s3145, 102],"
3145,14,,"[s3145, 14],"
3145,1792,,"[s3145, 1792],"
3145,20,,"[s3145, 20],"
3145,443,,"[s3145, 443],"
3173,13,,"[s3173, 13],"
3173,313,,"[s3173, 313],"
3173,443,,"[s3173, 443],"
3175,13,,"[s3175, 13],"
3247,8,,"[s3247, 8],"
3247,302,,"[s3247, 302],"
3285,105,,"[s3285, 105],"
3285,25,,"[s3285, 25],"
3285,48,,"[s3285, 48],"
3285,49,,"[s3285, 49],"
3300,302,,"[s3300, 302],"
3302,25,,"[s3302, 25],"
3302,302,,"[s3302, 302],"
3310,20,,"[s3310, 20],"
3310,208,,"[s3310, 208],"
3316,20,,"[s3316, 20],"
3316,208,,"[s3316, 208],"
3320,8,,"[s3320, 8],"
3320,106,,"[s3320, 106],"
3320,20,,"[s3320, 20],"
3320,302,,"[s3320, 302],"
3320,443,,"[s3320, 443],"
3331,105,,"[s3331, 105],"
3331,25,,"[s3331, 25],"
3331,48,,"[s3331, 48],"
3331,49,,"[s3331, 49],"
3341,29,,"[s3341, 29],"
3355,13,,"[s3355, 13],"
3374,13,,"[s3374, 13],"
3390,13,,"[s3390, 13],"
3420,436S,,"[s3420, 436S],"
3433,26,,"[s3433, 26],"
3433,28,,"[s3433, 28],"
3433,436S,,"[s3433, 436S],"
3459,104,,"[s3459, 104],"
3459,15,,"[s3459, 15],"
3486,104,,"[s3486, 104],"
3486,13,,"[s3486, 13],"
3486,434,,"[s3486, 434],"
3502,104,,"[s3502, 104],"
3529,104,,"[s3529, 104],"
3529,28,,"[s3529, 28],"
3529,29,,"[s3529, 29],"
3538,436S,,"[s3538, 436S],"
3539,29,,"[s3539, 29],"
3553,436S,,"[s3553, 436S],"
3577,29,,"[s3577, 29],"
3653,15,,"[s3653, 15],"
3690,15,,"[s3690, 15],"
3701,15,,"[s3701, 15],"
3718,15,,"[s3718, 15],"
3739,3,,"[s3739, 3],"
3789,13,,"[s3789, 13],"
3818,26,,"[s3818, 26],"
3818,28,,"[s3818, 28],"
3826,105,,"[s3826, 105],"
3826,125,,"[s3826, 125],"
3826,445,,"[s3826, 445],"
3826,54,,"[s3826, 54],"
3826,208,,"[s3826, 208],"
3935,14,,"[s3935, 14],"
3949,8,,"[s3949, 8],"
3950,1792,,"[s3950, 1792],"
3958,1792,,"[s3958, 1792],"
3960,8,,"[s3960, 8],"
3960,102,,"[s3960, 102],"
3984,6,,"[s3984, 6],"
3984,13,,"[s3984, 13],"
3984,313,,"[s3984, 313],"
3984,51,,"[s3984, 51],"
3998,13,,"[s3998, 13],"
3998,313,,"[s3998, 313],"
4001,313,,"[s4001, 313],"
4003,13,,"[s4003, 13],"
4003,313,,"[s4003, 313],"
4066,436S,,"[s4066, 436S],"
4110,104,,"[s4110, 104],"
4110,26,,"[s4110, 26],"
4110,28,,"[s4110, 28],"
4110,29,,"[s4110, 29],"
4123,104,,"[s4123, 104],"
4123,28,,"[s4123, 28],"
4123,29,,"[s4123, 29],"
4246,38,,"[s4246, 38],"
4246,40,,"[s4246, 40],"
4247,7,,"[s4247, 7],"
4247,11,,"[s4247, 11],"
4247,18,,"[s4247, 18],"
4254,3,,"[s4254, 3],"
4254,7,,"[s4254, 7],"
4254,11,,"[s4254, 11],"
4254,18,,"[s4254, 18],"
4308,40,,"[s4308, 40],"
4349,15,,"[s4349, 15],"
4364,15,,"[s4364, 15],"
4415,208,,"[s4415, 208],"
4425,208,,"[s4425, 208],"
4462,125,,"[s4462, 125],"
4463,125,,"[s4463, 125],"
4506,6,,"[s4506, 6],"
4514,6,,"[s4514, 6],"
4522,6,,"[s4522, 6],"
4529,6,,"[s4529, 6],"
4545,20,,"[s4545, 20],"
4571,20,,"[s4571, 20],"
4651,8,,"[s4651, 8],"
4651,208,,"[s4651, 208],"
4720,8,,"[s4720, 8],"
4720,208,,"[s4720, 208],"
4762,31,,"[s4762, 31],"
4769,304,,"[s4769, 304],"
4769,34,,"[s4769, 34],"
4769,208,,"[s4769, 208],"
